codigo,descricao
00101,20000 G
00102,20 KG
00103,20000G
00104,20KG
00201,15000 G
00202,15 KG
00203,15000G
00204,15KG
00301,10100 G
00302,"10,1 KG"
00303,10100G
00304,"10,1KG"
00401,10000 G
00402,10 KG
00403,10000G
00404,10KG
00501,9000 G
00502,9 KG
00503,9000G
00504,9KG
00601,8000 G
00602,8 KG
00603,8000G
00604,8KG
00605,8 QUILOS
00701,7500 G
00702,"7,5 KG"
00703,7500G
00704,"7,5KG"
00801,5000 G
00802,5 KG
00803,5000G
00804,5KG
00805,5KILOS
00806,5 QUILOGRAMAS
00901,4000 G
00902,4 KG
00903,4000G
00904,4KG
01001,3000 G
01002,3 KG
01003,3000G
01004,3KG
01101,2700 G
01102,"2,7 KG"
01103,2700G
01104,"2,7KG"
01201,2500 G
01202,"2,5 KG"
01203,2500G
01204,"2,5KG"
01301,2300 G
01302,"2,3 KG"
01303,2300G
01304,"2,3KG"
01401,2000 G
01402,2 KG
01403,2000G
01404,2KG
01405,2K
01501,1500 G
01502,"1,5 KG"
01503,1500G
01504,"1,5KG"
01601,1250 G
01602,"1,25 KG"
01603,1250G
01604,"1,25KG"
01701,1000 G
01702,1 KG
01703,1000G
01704,1KG
01705,1 QUILOGRAMA
01706,1K
01707,1 KILO
01708,1 K
01709,1KILO
01710,1KL
01801,950 G
01802,950G
01901,900 G
01902,900G
02001,860 G
02002,860G
02101,850 G
02102,850G
02201,830 G
02202,830G
02301,805 G
02302,805G
02401,800 G
02402,800G
02501,720 G
02502,720G
02503,720GR
02601,700 G
02602,700G
02701,672 G
02702,672G
02801,660 G
02802,660G
02901,650 G
02902,650G
03001,600 G
03002,600G
03003,600 GR
03004,600 GRAMAS
03005,600GR
03101,550 G
03102,550G
03201,540 G
03202,540G
03203,540GR
03301,520 G
03302,520G
03303,520GR
03304,520 GR
03401,500 G
03402,500G
03403,500 GR
03404,500GR
03405,500 GRAMAS
03406,"0,5 KG"
03407,"0,5KG"
03501,480 G
03502,480G
03503,480GR
03601,470 G
03602,470G
03701,466 G
03702,466G
03801,460 G
03802,460G
03901,454 G
03902,454G
04001,450 G
04002,450G
04003,450 GR
04101,440 G
04102,440G
04201,430 G
04202,430G
04301,400 G
04302,400G
04303,400 GR
04304,400GR
04401,395 G
04402,395G
04403,395 GR
04404,395GR
04405,395 GRAMAS
04501,390 G
04502,390G
04601,380 G
04602,380G
04701,375 G
04702,375G
04801,370 G
04802,370G
04901,360 G
04902,360G
04903,360 GR
05001,350 G
05002,350G
05101,340 G
05102,340G
05103,340 GRAMAS
05201,330 G
05202,330G
05301,320 G
05302,320G
05303,320GR
05401,300 G
05402,300G
05403,300 GRAMAS
05404,300 GR
05405,300GR
05501,285 G
05502,285G
05601,280 G
05602,280G
05603,280 GR
05604,280GR
05701,275 G
05702,275G
05801,270 G
05802,270G
05803,270 GR
05901,260 G
05902,260G
06001,255 G
06002,255G
06101,250 G
06102,250G
06103,250GR
06104,250 GR
06105,250 GRAMAS
06201,240 G
06202,240G
06203,240GR
06204,240 GR
06301,237 G
06302,237G
06401,231 G
06402,231G
06501,230 G
06502,230G
06503,230 GR
06504,230GR
06601,228 G
06602,228G
06701,212 G
06702,212G
06801,210 G
06802,210G
06901,200 G
