codigo,descricao
000101,ALUGUEL ESTIMADO
600101,ENERGIA ELETRICA (KWH)
600201,AGUA E ESGOTO
600301,GAS ENCANADO
600401,TELEFONE FIXO
600501,"ACESSO A INTERNET (DISCADA, BANDA LARGA, VIA SATELITE, VIA RADIO, ETC.)"
600601,TV POR ASSINATURA (MENSALIDADE E/OU PAY-PER-VIEW)
600701,PACOTE COM TELEFONE FIXO E CELULAR
600801,PACOTE COM TELEFONE FIXO E INTERNET
600901,PACOTE COM TELEFONE FIXO E TV POR ASSINATURA
601001,PACOTE COM CELULAR E INTERNET
601101,PACOTE COM CELULAR E TV POR ASSINATURA
601201,PACOTE COM INTERNET E TV POR ASSINATURA
601301,"PACOTE COM TELEFONE FIXO, CELULAR E INTERNET"
601401,"PACOTE COM TELEFONE FIXO, CELULAR E TV POR ASSINATURA"
601501,"PACOTE COM TELEFONE FIXO, INTERNET E TV POR ASSINATURA"
601601,"PACOTE COM CELULAR, INTERNET E TV POR ASSINATURA"
601701,"PACOTE COM TELEFONE FIXO, CELULAR, INTERNET E TV POR ASSINATURA"
601801,AGREGADO (ENERGIA ELETRICA E AGUA E ESGOTO)
699901,AGREGADO
700101,GAS DE BOTIJAO (COMBUSTIVEL DOMESTICO)
700102,GAS DE BUJAO (COMBUSTIVEL DOMESTICO)
700201,AGUA PARA USO GERAL
700202,PIPA DE AGUA
700301,QUEROSENE (COMBUSTIVEL DOMESTICO)
700401,ALCOOL (COMBUSTIVEL DOMESTICO)
700501,OLEO DIESEL (COMBUSTIVEL DOMESTICO)
700601,CARVAO (COMBUSTIVEL DOMESTICO)
700701,LENHA (COMBUSTIVEL DOMESTICO)
700801,GASOLINA (COMBUSTIVEL DOMESTICO)
700901,RECARGA DE BATERIA (ILUMINACAO DOMICILIAR)
701001,GAS DE BOTIJAO PARA ILUMINACAO
701002,GAS DE BUJAO PARA ILUMINACAO
701101,PO DE SERRA (COMBUSTIVEL DOMESTICO)
799901,AGREGADO
800101,AZULEJO E PISO (PEQUENOS REPAROS)
800102,AZULEJO (PEQUENOS REPAROS)
800103,PISO (PEQUENOS REPAROS)
800104,LAJOTA (PEQUENOS REPAROS)
800105,PISO DE CERAMICA (PEQUENOS REPAROS)
800201,TIJOLO (PEQUENOS REPAROS)
800202,BLOCO DE CERAMICA (PEQUENOS REPAROS)
800301,"TELHA (BARRO, AMIANTO, FIBRA, ALUMINIO, ETC.) (PEQUENOS REPAROS)"
800302,TELHA DE BARRO (PEQUENOS REPAROS)
800303,TELHA DE AMIANTO (PEQUENOS REPAROS)
800304,TELHA DE FIBRA (PEQUENOS REPAROS)
800305,TELHA DE ALUMINIO (PEQUENOS REPAROS)
800401,CIMENTO (PEQUENOS REPAROS)
800402,CIMENTO BRANCO (PEQUENOS REPAROS)
800403,CIMENTCOLA OU CIMENTOCOLA (PEQUENOS REPAROS)
800501,"AREIA, TERRA, BARRO, SAIBRO, CASCALHO, ETC. (PEQUENOS REPAROS)"
800601,"PEDRAS (BRITADA, MARROADA, PARALELEPIPEDO, ETC.) (PEQUENOS REPAROS)"
800701,MASSA CORRIDA PARA PAREDE (PEQUENOS REPAROS)
